model,mean_score,AUROC,AUPRC,Sens@Sp90,Brier score,Logloss score,raw_auroc,direction_auroc,raw_auprc,direction_auprc,raw_sens_at_spec90,direction_sens_at_spec90,raw_brier,direction_brier,raw_logloss,direction_logloss
CAT,0.9885992187860797,1.0,0.9429960939303984,1.0,1.0,1.0,0.6949949408283858,higher,0.31749708824579326,higher,0.27492796765107863,higher,0.13480516536430345,lower,0.4305418906331626,lower
STACK,0.5296446940499574,0.9309024328432383,1.0,0.5738134044235357,0.0,0.14350763298301272,0.6945074880032873,higher,0.31784944873961496,higher,0.2716319127940852,higher,0.13654360328874765,lower,0.4354021802677185,lower
XGB,0.35068807813238595,0.44504107814282956,0.13787930184170358,0.4812299141425186,0.32793585253909224,0.3613542439957858,0.6910799506861259,higher,0.31252038805093063,higher,0.27091588778066267,higher,0.13597350716590875,lower,0.43416597821128206,lower
LGB,0.013782073191276934,0.0,0.0,0.0,0.06891036595638467,0.0,0.6879403823951988,higher,0.311668109282079,higher,0.2671941372321863,higher,0.13642380689518174,lower,0.43621653505700425,lower
