arm,mean_score,QWK,Bal acc,Macro F1,Sel acc,Abst AUROC,MAE score,ECE score,Brier score,AURC score,raw_qwk,direction_qwk,raw_bacc,direction_bacc,raw_f1_macro,direction_f1_macro,raw_sel_acc@80,direction_sel_acc@80,raw_abst_auroc,direction_abst_auroc,raw_mae,direction_mae,raw_ece,direction_ece,raw_brier,direction_brier,raw_aurc,direction_aurc
B2,0.9337957715805241,0.9803992516422406,1.0,1.0,1.0,0.9815018813366921,0.9714367323621824,0.7882317331773131,0.7354682628685731,0.9471240828377142,0.8048176397018812,higher,0.668616047066411,higher,0.6639673817056979,higher,0.726565143824027,higher,0.7334706674792898,higher,0.4195760036084799,lower,0.12439913460006032,lower,0.5168762747636467,lower,0.19027222527462978,lower
A1,0.916171440730897,0.8462348578031943,0.9508742417556444,0.9842312936514218,0.7916666666666669,1.0,0.8594687232219373,0.8130671834792087,1.0,1.0,0.7980606570009054,higher,0.6662623924655593,higher,0.662017185823886,higher,0.7119007332205302,higher,0.7357004792641868,higher,0.42841677943166434,lower,0.12032459480675368,lower,0.4859303706403505,lower,0.18582624500880002,lower
A7,0.9012370901647184,1.0,0.7898659328364158,0.9965602430008365,0.974358974358974,0.9100606231038401,1.0,0.8204442548259261,0.7500335466300376,0.8698102367264361,0.8058048011520231,higher,0.6585483548485087,higher,0.663541969513606,higher,0.724760293288212,higher,0.7248589506644623,higher,0.4173207036535859,lower,0.11911430184266884,lower,0.5151723738264713,lower,0.1967730266324796,lower
B1,0.8168113487815324,0.6711811922497181,0.7239955701609565,0.9085937970313313,0.8108974358974363,0.9308803911646123,0.7120822622107967,1.0,0.7654736318840293,0.828197858434911,0.7892443492157992,higher,0.6553924527777518,higher,0.6526627130371973,higher,0.7132543711223914,higher,0.7273686201625187,higher,0.44005412719891746,lower,0.08965612734068493,lower,0.5133661353648528,lower,0.20027193166575855,lower
B3,0.8038423603596561,0.7849376447731641,0.7794726811380372,0.8932588267394933,0.7900641025641035,0.958355706005993,0.7794915738360465,0.7826828158227109,0.6473766757600046,0.8189412165973512,0.7949735174386843,higher,0.6580504057979104,higher,0.6507661594931238,higher,0.7117879300620418,higher,0.730680566741637,higher,0.43473161930536763,lower,0.1253094979837019,lower,0.5271815554770016,lower,0.20105026042384577,lower
B4,0.7470752827974002,0.700423177028485,0.6468160524406322,0.8541579238888256,0.7516025641025645,0.9353428296259572,0.6766638103399026,0.7997849464844102,0.592931180242249,0.7659550610235751,0.7907170766633616,higher,0.6516947199901907,higher,0.6459303525455631,higher,0.7090806542583192,higher,0.7279065342094332,higher,0.442850699142986,lower,0.12250369776327648,lower,0.5335507915562276,lower,0.2055055098963073,lower
A2,0.5011878378099657,0.615591498131403,0.5818451691518508,0.44421803874698956,0.7131410256410255,0.2085698158356045,0.5715509854327335,0.5100731243368821,0.5405228353553103,0.32517804765789216,0.7864446600377554,higher,0.6485819127005117,higher,0.5952310080260216,higher,0.7063733784545967,higher,0.6402994072041701,higher,0.45115020297699593,lower,0.17003423711658866,lower,0.5396817141960547,lower,0.24256748457639796,lower
A3,0.5011878378099657,0.615591498131403,0.5818451691518508,0.44421803874698956,0.7131410256410255,0.2085698158356045,0.5715509854327335,0.5100731243368821,0.5405228353553103,0.32517804765789216,0.7864446600377554,higher,0.6485819127005117,higher,0.5952310080260216,higher,0.7063733784545967,higher,0.6402994072041701,higher,0.45115020297699593,lower,0.17003423711658866,lower,0.5396817141960547,lower,0.24256748457639796,lower
A6,0.322471999552174,0.5275831268091535,0.29781504760782057,0.25906957780540785,0.3990384615384617,0.10803538236078385,0.347614967152242,0.44548197387311295,0.4313405080900696,0.08626895073251395,0.7820122541992964,higher,0.6349738010653212,higher,0.5723327589198329,higher,0.6842639593908629,higher,0.6281807226703338,higher,0.4688317546233649,lower,0.1806311544126683,lower,0.5524542679476291,lower,0.2626557437927327,lower
A4,0.3082471928743061,0.7135811701548542,0.15902822254871657,0.0,0.2980769230769226,0.09523878561160674,0.3578977435018558,0.5386526114835757,0.5167536174566357,0.09499566203458736,0.7913797586864406,higher,0.6283244126179583,higher,0.5402923104156723,higher,0.6771573604060913,higher,0.6266381873045893,higher,0.4680198466396031,lower,0.16534544523901154,lower,0.5424623254987079,lower,0.26192197332941325,lower
B6,0.29990051402532836,0.0,0.0,0.44556622270004986,0.5396634615384611,0.9024207553077186,0.0,0.0,0.0,0.8114541866817256,0.7554413439960062,higher,0.6207052425319667,higher,0.5953977447725284,higher,0.6941624365482233,higher,0.723938020944153,higher,0.49627875507442487,lower,0.2537175695040928,lower,0.6029140810218441,lower,0.20167979441665357,lower
A5,0.22899820002945187,0.6699673931074654,0.05548249530435108,0.004922186409318356,0.0,0.0,0.2939160239931441,0.5866383898366098,0.45005731161417795,0.0,0.7891832180947024,higher,0.6233634535195767,higher,0.5409010621707475,higher,0.656175972927242,higher,0.6151578540663083,higher,0.47307171853856567,lower,0.15747282923907913,lower,0.5502647068248975,lower,0.26990951967208837,lower
