arm,bacc,bacc_sem,count
B6,0.5798978401757505,0.004724830515011132,8
A5,0.5992576570227982,0.007040490213907132,10
A4,0.6044063605162536,0.004534393979535323,10
A6,0.6184232470735622,0.004224756798540711,10
A2,0.6186934450403894,0.005544559113419566,10
A3,0.6186934450403894,0.005544559113419566,10
B4,0.6204908041027053,0.008158877320466454,10
A7,0.6240635916626505,0.007146222404109823,10
B2,0.6287912449639801,0.002906676475767431,10
B3,0.6298052933952708,0.0025114459813955978,10
B1,0.6346046243409244,0.002684118257444667,10
A1,0.6364296739192554,0.007762763197248094,10
