model,mean_score,AUROC,AUPRC,Sens@Sp90,Brier score,Logloss score,raw_auroc,direction_auroc,raw_auprc,direction_auprc,raw_sens_at_spec90,direction_sens_at_spec90,raw_brier,direction_brier,raw_logloss,direction_logloss
CAT,1.0,1.0,1.0,1.0,1.0,1.0,0.8475742728629363,higher,0.2999547833333671,higher,0.4863227418409927,higher,0.058457060245041305,lower,0.2024712340618958,lower
STACK,0.47770851743946957,0.9292838380995083,0.8305837173790801,0.6286750317187597,0.0,0.0,0.846654939833534,higher,0.2952689537904592,higher,0.46882743108128133,higher,0.06253622651699926,lower,0.22392242302911192,lower
LGB,0.21235624211395274,0.09057001390201376,0.0,0.05262786991188539,0.4232625422572753,0.4953207844985893,0.8357513882255431,higher,0.27229611044539703,higher,0.44168644954505487,higher,0.060809668230440206,lower,0.21329720328144294,lower
XGB,0.183095710091366,0.0,0.08192661487765836,0.0,0.42687281296994334,0.4066791226092283,0.8345739486839188,higher,0.2745620918871169,higher,0.43920683999175186,higher,0.06079494133591645,lower,0.2151986723209997,lower
