Outcome,Mode,N features,AUROC,95% CI,AUPRC,Brier,Use case
WOMAC Pain,Minimal,6,0.6239,—,,0.1362,ER triage / telehealth
WOMAC Pain,Lite,12,0.6585,—,,0.1347,General practice / secondary
WOMAC Pain,Standard,26,0.6818,—,,0.1323,Tertiary specialist clinic
WOMAC Pain,Full,74,0.6993,"[0.6889, 0.7098]",0.3192,0.1305,Research / publication baseline
