arm,sel_acc@90,sel_acc@90_sem,count
B6,0.6354166666666666,0.0008036632810525577,8
A5,0.6409722222222223,0.010006053123403228,10
A4,0.6503472222222222,0.003707318837510876,10
B4,0.6625,0.006892164319888625,10
A6,0.6652777777777777,0.008547592795202195,10
B1,0.6708333333333334,0.0044915759055398725,10
A1,0.671875,0.005705443307345478,10
A7,0.6722222222222223,0.003914707066038838,10
B3,0.6729166666666666,0.0020897534820911857,10
A2,0.6756944444444445,0.003880336716259303,10
A3,0.6756944444444445,0.003880336716259303,10
B2,0.6805555555555556,0.003491459057638506,10
