arm,epoch,mean,sem,count
B1,0,40.64,0.1343296111973993,10
B1,1,39.519999999999996,0.2341889076033373,10
B1,2,39.36,0.14236104336041747,10
B1,3,39.160000000000004,0.1694435336951846,10
B1,4,39.38,0.171787983023001,10
B1,5,39.239999999999995,0.07180219742845965,10
B1,6,39.519999999999996,0.22647050335284083,10
B1,7,39.480000000000004,0.08537498983243769,10
B1,8,39.260000000000005,0.14847371634213372,10
B1,9,39.160000000000004,0.13266499161421605,10
B1,10,39.32,0.16519348924485183,10
B1,11,39.04,0.13597385369580817,10
B1,12,39.480000000000004,0.09521904571390494,10
B1,13,39.2,0.17256238807393004,10
B1,14,39.0,0.21499353995462803,10
B1,15,39.12,0.09521904571390442,10
B1,16,39.480000000000004,0.1704894913672585,10
B1,17,39.18,0.13727506854649366,10
B1,18,39.4,0.16465452046971307,10
B1,19,39.22,0.10624918300339539,10
B1,20,39.28,0.13232955494186097,10
B1,21,38.92,0.1913693345920979,10
B1,22,39.18,0.13888444437333167,10
B1,23,39.239999999999995,0.14996295838936066,10
B1,24,39.339999999999996,0.26127890589687297,10
B1,25,39.1,0.18499249234015422,10
B1,26,39.0,0.18378731669453713,10
B1,27,38.94,0.09568466729604883,10
B1,28,39.5,0.15634719199411387,10
B1,29,39.28,0.14666666666666697,10
B1,30,39.08,0.09043106644166962,10
B1,31,39.18,0.1420485050177501,10
B1,32,39.339999999999996,0.15860503004493784,10
B1,33,39.54,0.17074997966487637,10
B1,34,39.18,0.17307673314329466,10
B1,35,39.18,0.18306040290327946,10
B1,36,39.58,0.13564659966250545,10
B1,37,38.88,0.13063945294843568,10
B1,38,39.46,0.15860503004493826,10
B1,39,39.3,0.11155467020454289,10
B1,40,39.480000000000004,0.10832051206181269,10
B1,41,38.9,0.10327955589886492,10
B1,42,38.839999999999996,0.07774602526460388,10
B1,43,39.2,0.15916448515084444,10
B1,44,39.019999999999996,0.08793937305515309,10
B1,45,39.06,0.14391355429948585,10
B1,46,39.18,0.16786237749352187,10
B1,47,39.019999999999996,0.14966629547095725,10
B1,48,38.980000000000004,0.0646357314322178,10
B1,49,38.86,0.09333333333333288,10
B1,50,39.0,0.13498971154211026,10
B1,51,39.18,0.17938165396098293,10
B1,52,39.0,0.09428090415820656,10
B1,53,39.019999999999996,0.12183777921664672,10
B1,54,39.18,0.15972198067614532,10
B1,55,39.2,0.1813529401164733,10
B1,56,38.980000000000004,0.17813852287849863,10
B1,57,39.0,0.14907119849998568,10
B1,58,39.54,0.1146976702272352,10
B1,59,38.96,0.1892675942210442,10
B2,0,41.120000000000005,0.10832051206181237,10
B2,1,39.959999999999994,0.1984383475484959,10
B2,2,39.72,0.16519348924485144,10
B2,3,39.38,0.11035296904831228,10
B2,4,39.58,0.21123972690339726,10
B2,5,39.54,0.10456258094238756,10
B2,6,39.62,0.1638427430325929,10
B2,7,39.64,0.04521553322083492,10
B2,8,39.56,0.10241527663824766,10
B2,9,39.239999999999995,0.08844332774281038,10
B2,10,39.56,0.1275408431313935,10
B2,11,39.44,0.14079141387961933,10
B2,12,39.64,0.120369800568452,10
B2,13,39.260000000000005,0.11274356350191804,10
B2,14,39.279999999999994,0.14360439485691975,10
B2,15,39.4,0.08692269873603477,10
B2,16,39.54,0.10873004286866743,10
B2,17,39.08,0.15691469727919755,10
B2,18,39.62,0.1878533707147376,10
B2,19,39.260000000000005,0.08589399151150112,10
B2,20,39.4,0.09888264649460846,10
B2,21,39.08,0.1420485050177507,10
B2,22,39.279999999999994,0.14966629547095756,10
B2,23,39.239999999999995,0.12400716825158854,10
B2,24,39.2,0.2260776661041757,10
B2,25,39.0,0.10954451150103338,10
B2,26,39.3,0.17763883459298857,10
B2,27,39.2,0.09189365834726863,10
B2,28,39.58,0.12892719737209163,10
B2,29,39.5,0.07302967433402252,10
B2,30,39.239999999999995,0.10456258094238695,10
B2,31,39.28,0.13888444437333042,10
B2,32,39.36,0.12036980056845202,10
B2,33,39.6,0.1619327706865488,10
B2,34,39.3,0.13498971154211065,10
B2,35,39.38,0.1704894913672597,10
B2,36,39.56,0.09092121131323883,10
B2,37,39.12,0.12543258481484534,10
B2,38,39.459999999999994,0.1543444920372031,10
B2,39,39.54,0.12754084313139327,10
B2,40,39.42,0.10832051206181281,10
B2,41,39.2,0.12823589374447592,10
B2,42,39.339999999999996,0.09568466729604848,10
B2,43,39.64,0.1439135542994863,10
B2,44,39.339999999999996,0.11075498483890732,10
B2,45,39.339999999999996,0.14544949486180905,10
B2,46,39.56,0.17713773674115194,10
B2,47,39.22,0.11430952132988159,10
B2,48,39.14,0.12220201853215543,10
B2,49,39.480000000000004,0.11623730516108449,10
B2,50,39.5,0.19663841605003377,10
B2,51,39.239999999999995,0.1528979325490624,10
B2,52,39.54,0.10666666666666723,10
B2,53,39.46,0.14236104336041755,10
B2,54,39.28,0.17688665548562044,10
B2,55,39.760000000000005,0.16138291249213638,10
B2,56,39.260000000000005,0.15289793254906286,10
B2,57,39.339999999999996,0.1292714628644355,10
B2,58,39.64,0.09092121131323881,10
B2,59,39.42,0.18061622912192116,10
B3,0,41.760000000000005,0.049888765156985315,10
B3,1,40.88,0.26025628394590816,10
B3,2,40.58,0.17178798302300213,10
B3,3,40.1,0.07601169500660881,10
B3,4,40.46,0.20176994600562118,10
B3,5,40.14,0.1066666666666667,10
B3,6,40.42,0.19020456823582876,10
B3,7,40.14,0.10666666666666716,10
B3,8,40.14,0.1514375558880077,10
B3,9,39.82000000000001,0.14047538337137,10
B3,10,40.22,0.09977753031397218,10
B3,11,40.260000000000005,0.21868292622475696,10
B3,12,40.28,0.12543258481484518,10
B3,13,40.160000000000004,0.18208667044996918,10
B3,14,40.08,0.2037427571991485,10
B3,15,39.980000000000004,0.057348835113617505,10
B3,16,40.3,0.17256238807393082,10
B3,17,40.06,0.12754084313139258,10
B3,18,40.36,0.23626726862225822,10
B3,19,39.76,0.12220201853215559,10
B3,20,40.5,0.09888264649460905,10
B3,21,40.0,0.19776529298921802,10
B3,22,40.160000000000004,0.17962924780409964,10
B3,23,40.42,0.20912516188477515,10
B3,24,40.46,0.27292652653944943,10
B3,25,40.18,0.1806162291219212,10
B3,26,39.940000000000005,0.07483314773547918,10
B3,27,40.28,0.1123486636423515,10
B3,28,40.58,0.2727636339397167,10
B3,29,39.98,0.17307673314329558,10
B3,30,40.0,0.12472191289246458,10
B3,31,40.22,0.1404753833713695,10
B3,32,40.0,0.24855135843076248,10
B3,33,40.7,0.1445298892578584,10
B3,34,39.98,0.12892719737209155,10
B3,35,40.08,0.21847959477565215,10
B3,36,40.5,0.2241031508529553,10
B3,37,40.18,0.2515728301881766,10
B3,38,40.32,0.3086889840744057,10
B3,39,40.44,0.10873004286866743,10
B3,40,40.38,0.17307673314329514,10
B3,41,40.160000000000004,0.24458581770458854,10
B3,42,39.92,0.12364824660660945,10
B3,43,40.32,0.12719189352225982,10
B3,44,39.88,0.20044395171163834,10
B3,45,40.2,0.19888578520235056,10
B3,46,40.44,0.19843834754849643,10
B3,47,40.32,0.15405626677721815,10
B3,48,39.839999999999996,0.18086213288334105,10
