arm,epoch,mean,sem,count
A1,0,48.01666666666667,0.0877611542883309,12
A1,1,38.083333333333336,0.2482768900671462,12
A1,2,38.1,0.18422647458873503,12
A1,3,38.15,0.08302975005345682,12
A1,4,38.18333333333333,0.11202903664008312,12
A1,5,38.31666666666667,0.061340249939385236,12
A1,6,38.333333333333336,0.1543968388225092,12
A1,7,38.28333333333333,0.09600610249964152,12
A1,8,38.199999999999996,0.08164965809277301,12
A1,9,38.36666666666667,0.1814643020797555,12
A1,10,38.35,0.03370999312316231,12
A1,11,38.11666666666667,0.08776115428833052,12
A1,12,38.233333333333334,0.07719841941125401,12
A1,13,38.38333333333333,0.15803400733622977,12
A1,14,38.25,0.09333874443188706,12
A1,15,38.300000000000004,0.13371158468430422,12
A1,16,38.4,0.19617555526835725,12
A1,17,38.300000000000004,0.10588730430094608,12
A1,18,38.416666666666664,0.11601549879044666,12
A1,19,38.43333333333333,0.2585898042628262,12
A1,20,38.53333333333333,0.19974731512335775,12
A1,21,37.96666666666667,0.13558701406786108,12
A1,22,38.050000000000004,0.07736180249224046,12
A1,23,38.083333333333336,0.1837460918295311,12
A1,24,38.1,0.13257359305592353,12
A1,25,38.01666666666667,0.1050492909797761,12
A1,26,37.81666666666667,0.14503569745187975,12
A1,27,38.016666666666666,0.17356918685717992,12
A1,28,38.483333333333334,0.1580340073362297,12
A1,29,38.21666666666667,0.22923896931042245,12
A1,30,37.81666666666667,0.11731422020635932,12
A1,31,38.25,0.04174235549683557,12
A1,32,37.93333333333333,0.13669992204412057,12
A1,33,38.03333333333333,0.12987950904082993,12
A1,34,37.983333333333334,0.09441473091706294,12
A1,35,38.333333333333336,0.12143918126978125,12
A1,36,38.166666666666664,0.09320337272260425,12
A1,37,37.96666666666667,0.1452966314513553,12
A1,38,38.53333333333333,0.09481507786158848,12
A1,39,38.21666666666667,0.09279607271383412,12
A1,40,38.03333333333333,0.09320337272260448,12
A1,41,37.916666666666664,0.13075151852257633,12
A1,42,38.016666666666666,0.12360330811826131,12
A1,43,38.016666666666666,0.13971471654840834,12
A1,44,38.06666666666666,0.11634153830577326,12
A1,45,38.050000000000004,0.1190238071423808,12
A1,46,38.233333333333334,0.08468599159079997,12
A1,47,38.11666666666667,0.13190523074916355,12
A1,48,37.9,0.06963106238227955,12
A1,49,38.083333333333336,0.06609604276117366,12
A1,50,38.18333333333333,0.1248231071589236,12
A1,51,37.96666666666667,0.1321920855223468,12
A1,52,38.11666666666667,0.07470480627649098,12
A1,53,38.15,0.18484227510682383,12
A1,54,38.0,0.1314257481345545,12
A1,55,38.15,0.08483495563132998,12
A1,56,38.21666666666667,0.12482310715892263,12
A1,57,38.0,0.10000000000000013,12
A1,58,37.983333333333334,0.08776115428833103,12
A1,59,37.833333333333336,0.11236664374387324,12
A2,0,47.44,0.18571184369578808,10
A2,1,37.9,0.20548046676563317,10
A2,2,38.04,0.17074997966487565,10
A2,3,37.94,0.09797958971132721,10
A2,4,38.28,0.23228335186912533,10
A2,5,37.96,0.09092121131323935,10
A2,6,38.04,0.12754084313139308,10
A2,7,37.92,0.0646357314322178,10
A2,8,38.239999999999995,0.20286832072937203,10
A2,9,37.980000000000004,0.1466666666666667,10
A2,10,37.92,0.11623730516108535,10
A2,11,37.959999999999994,0.1869046102516822,10
A2,12,38.260000000000005,0.10456258094238723,10
A2,13,38.019999999999996,0.15832456116050508,10
A2,14,38.3,0.3366501646120693,10
A2,15,38.4,0.26161889160464735,10
A2,16,38.58,0.2751968992073373,10
A2,17,38.22,0.2398147433147332,10
A2,18,38.56,0.32083225108042585,10
A2,19,38.36,0.2833137248116773,10
A2,20,38.46,0.22958900476963373,10
A2,21,38.339999999999996,0.39191835884530857,10
A2,22,38.260000000000005,0.27211108842611464,10
A2,23,38.3,0.2375803957494063,10
A2,24,38.260000000000005,0.3363860216411432,10
A2,25,38.239999999999995,0.30955164709983746,10
A2,26,38.14,0.22568414506414367,10
A2,27,38.32,0.2611087470342151,10
A2,28,38.42,0.19252705437591552,10
A2,29,38.38,0.30652170486860425,10
