arm,abst_auroc,abst_auroc_sem,count
A5,0.6151578540663083,0.0022509299658920287,10
A4,0.6266381873045893,0.002568028238912749,10
A6,0.6281807226703338,0.004404805031429652,10
A2,0.6402994072041701,0.004534050463851305,10
A3,0.6402994072041701,0.004534050463851305,10
B6,0.723938020944153,0.000811106900286252,8
A7,0.7248589506644623,0.0039032857312840605,10
B1,0.7273686201625187,0.002312391012488562,10
B4,0.7279065342094332,0.0027160300035373405,10
B3,0.730680566741637,0.003591140009153678,10
B2,0.7334706674792898,0.0021985206178442612,10
A1,0.7357004792641868,0.002781457428847958,10
