arm,mean_score,QWK,Bal acc,Macro F1,Sel acc,Abst AUROC,MAE score,ECE score,Brier score,AURC score,raw_qwk,direction_qwk,raw_bacc,direction_bacc,raw_f1_macro,direction_f1_macro,raw_sel_acc@80,direction_sel_acc@80,raw_abst_auroc,direction_abst_auroc,raw_mae,direction_mae,raw_ece,direction_ece,raw_brier,direction_brier,raw_aurc,direction_aurc
A1,0.916171440730897,0.8462348578031943,0.9508742417556444,0.9842312936514218,0.7916666666666669,1.0,0.8594687232219373,0.8130671834792087,1.0,1.0,0.7980606570009054,higher,0.6662623924655593,higher,0.662017185823886,higher,0.7119007332205302,higher,0.7357004792641868,higher,0.42841677943166434,lower,0.12032459480675368,lower,0.4859303706403505,lower,0.18582624500880002,lower
A7,0.9012370901647184,1.0,0.7898659328364158,0.9965602430008365,0.974358974358974,0.9100606231038401,1.0,0.8204442548259261,0.7500335466300376,0.8698102367264361,0.8058048011520231,higher,0.6585483548485087,higher,0.663541969513606,higher,0.724760293288212,higher,0.7248589506644623,higher,0.4173207036535859,lower,0.11911430184266884,lower,0.5151723738264713,lower,0.1967730266324796,lower
A2,0.5011878378099657,0.615591498131403,0.5818451691518508,0.44421803874698956,0.7131410256410255,0.2085698158356045,0.5715509854327335,0.5100731243368821,0.5405228353553103,0.32517804765789216,0.7864446600377554,higher,0.6485819127005117,higher,0.5952310080260216,higher,0.7063733784545967,higher,0.6402994072041701,higher,0.45115020297699593,lower,0.17003423711658866,lower,0.5396817141960547,lower,0.24256748457639796,lower
A3,0.5011878378099657,0.615591498131403,0.5818451691518508,0.44421803874698956,0.7131410256410255,0.2085698158356045,0.5715509854327335,0.5100731243368821,0.5405228353553103,0.32517804765789216,0.7864446600377554,higher,0.6485819127005117,higher,0.5952310080260216,higher,0.7063733784545967,higher,0.6402994072041701,higher,0.45115020297699593,lower,0.17003423711658866,lower,0.5396817141960547,lower,0.24256748457639796,lower
A6,0.322471999552174,0.5275831268091535,0.29781504760782057,0.25906957780540785,0.3990384615384617,0.10803538236078385,0.347614967152242,0.44548197387311295,0.4313405080900696,0.08626895073251395,0.7820122541992964,higher,0.6349738010653212,higher,0.5723327589198329,higher,0.6842639593908629,higher,0.6281807226703338,higher,0.4688317546233649,lower,0.1806311544126683,lower,0.5524542679476291,lower,0.2626557437927327,lower
A4,0.3082471928743061,0.7135811701548542,0.15902822254871657,0.0,0.2980769230769226,0.09523878561160674,0.3578977435018558,0.5386526114835757,0.5167536174566357,0.09499566203458736,0.7913797586864406,higher,0.6283244126179583,higher,0.5402923104156723,higher,0.6771573604060913,higher,0.6266381873045893,higher,0.4680198466396031,lower,0.16534544523901154,lower,0.5424623254987079,lower,0.26192197332941325,lower
A5,0.22899820002945187,0.6699673931074654,0.05548249530435108,0.004922186409318356,0.0,0.0,0.2939160239931441,0.5866383898366098,0.45005731161417795,0.0,0.7891832180947024,higher,0.6233634535195767,higher,0.5409010621707475,higher,0.656175972927242,higher,0.6151578540663083,higher,0.47307171853856567,lower,0.15747282923907913,lower,0.5502647068248975,lower,0.26990951967208837,lower
