arm,ece,ece_sem,count
B6,0.22821479416452342,0.0016941009648459404,8
A6,0.1618667833134532,0.005984618404477193,10
A2,0.16057931999675926,0.005713902763160077,10
A3,0.16057931999675926,0.005713902763160077,10
A4,0.14701190887019033,0.0033958973819070187,10
A5,0.1406552210729569,0.009293066367839477,10
A1,0.1252010427601635,0.010940729901108306,10
B3,0.12498473933432246,0.018787046989940714,10
B4,0.12228022154886271,0.025037923188216318,10
B2,0.11776616882532834,0.004544244142535896,10
A7,0.11405140387825663,0.016517052088179895,10
B1,0.09871445774100715,0.004192413724352067,10
