arm,acc,acc_sem,count
A5,0.6302210193955796,0.008025206717628562,10
A4,0.6339197113216057,0.003022962047658918,10
B6,0.6341903473161931,0.0015390902651583407,8
A6,0.6403247631935047,0.0056229733404774985,10
B4,0.6441136671177267,0.002068109922002629,10
B3,0.6482634190347316,0.002467627513327752,10
B1,0.6497068110058638,0.002378435715926658,10
A1,0.6503382949932341,0.003552159081243647,10
A2,0.651871898962562,0.002698664278596853,10
A3,0.651871898962562,0.002698664278596853,10
B2,0.6588182228236356,0.0022272601638419773,10
A7,0.6594497068110059,0.002189177533989024,10
