arm,ece,ece_sem,count
B6,0.2537175695040928,0.004666974292710245,8
A6,0.1806311544126683,0.005211471969102737,10
A2,0.17003423711658866,0.005444580986248216,10
A3,0.17003423711658866,0.005444580986248216,10
A4,0.16534544523901154,0.0029109376146054886,10
A5,0.15747282923907913,0.011603190833936326,10
B3,0.1253094979837019,0.021867220665986863,10
B2,0.12439913460006032,0.008591752029863613,10
B4,0.12250369776327648,0.02446367982972733,10
A1,0.12032459480675368,0.012277961242670532,10
A7,0.11911430184266884,0.019805737303965742,10
B1,0.08965612734068493,0.0037591842364733488,10
