model,mean_score,AUROC,AUPRC,Sens@Sp90,Brier score,Logloss score,raw_auroc,direction_auroc,raw_auprc,direction_auprc,raw_sens_at_spec90,direction_sens_at_spec90,raw_brier,direction_brier,raw_logloss,direction_logloss
XGB,0.6,1.0,1.0,1.0,0.0,0.0,0.9160615551192063,higher,0.21996305741336294,higher,0.7338315569848568,higher,0.08683851137757301,lower,0.27268555286244195,lower
LGB,0.49304391587848145,0.14375729163875886,0.36515087119696193,0.09299133985106665,0.9760993715802555,0.8872207051253642,0.908054565612318,higher,0.20952040053991045,higher,0.7062339111998774,higher,0.01892545292247526,lower,0.09730924286024478,lower
STACK,0.471333899628781,0.05988246309425312,0.29678703504965187,0.0,1.0,1.0,0.9072702262357722,higher,0.20839588126273148,higher,0.7034044541383991,higher,0.01726254356893694,lower,0.07501623677336747,lower
CAT,0.1889708395600495,0.0,0.0,0.031115548492564697,0.4516809407641154,0.4620577085435674,0.9067102468643158,higher,0.20351402031199467,higher,0.7043512101325063,higher,0.05541237278319446,lower,0.18135092162095007,lower
