arm,mean_score,QWK,Bal acc,Macro F1,Sel acc,Abst AUROC,MAE score,ECE score,Brier score,AURC score,raw_qwk,direction_qwk,raw_bacc,direction_bacc,raw_f1_macro,direction_f1_macro,raw_sel_acc@80,direction_sel_acc@80,raw_abst_auroc,direction_abst_auroc,raw_mae,direction_mae,raw_ece,direction_ece,raw_brier,direction_brier,raw_aurc,direction_aurc
B2,0.9337957715805241,0.9803992516422406,1.0,1.0,1.0,0.9815018813366921,0.9714367323621824,0.7882317331773131,0.7354682628685731,0.9471240828377142,0.8048176397018812,higher,0.668616047066411,higher,0.6639673817056979,higher,0.726565143824027,higher,0.7334706674792898,higher,0.4195760036084799,lower,0.12439913460006032,lower,0.5168762747636467,lower,0.19027222527462978,lower
B1,0.8168113487815324,0.6711811922497181,0.7239955701609565,0.9085937970313313,0.8108974358974363,0.9308803911646123,0.7120822622107967,1.0,0.7654736318840293,0.828197858434911,0.7892443492157992,higher,0.6553924527777518,higher,0.6526627130371973,higher,0.7132543711223914,higher,0.7273686201625187,higher,0.44005412719891746,lower,0.08965612734068493,lower,0.5133661353648528,lower,0.20027193166575855,lower
B3,0.8038423603596561,0.7849376447731641,0.7794726811380372,0.8932588267394933,0.7900641025641035,0.958355706005993,0.7794915738360465,0.7826828158227109,0.6473766757600046,0.8189412165973512,0.7949735174386843,higher,0.6580504057979104,higher,0.6507661594931238,higher,0.7117879300620418,higher,0.730680566741637,higher,0.43473161930536763,lower,0.1253094979837019,lower,0.5271815554770016,lower,0.20105026042384577,lower
B4,0.7470752827974002,0.700423177028485,0.6468160524406322,0.8541579238888256,0.7516025641025645,0.9353428296259572,0.6766638103399026,0.7997849464844102,0.592931180242249,0.7659550610235751,0.7907170766633616,higher,0.6516947199901907,higher,0.6459303525455631,higher,0.7090806542583192,higher,0.7279065342094332,higher,0.442850699142986,lower,0.12250369776327648,lower,0.5335507915562276,lower,0.2055055098963073,lower
B6,0.29990051402532836,0.0,0.0,0.44556622270004986,0.5396634615384611,0.9024207553077186,0.0,0.0,0.0,0.8114541866817256,0.7554413439960062,higher,0.6207052425319667,higher,0.5953977447725284,higher,0.6941624365482233,higher,0.723938020944153,higher,0.49627875507442487,lower,0.2537175695040928,lower,0.6029140810218441,lower,0.20167979441665357,lower
