arm,sel_acc@80,sel_acc@80_sem,count
A5,0.656175972927242,0.011517589779505127,10
A4,0.6771573604060913,0.005006167515803955,10
A6,0.6842639593908629,0.011099255046052444,10
B6,0.6941624365482233,0.001334492150112947,8
A2,0.7063733784545967,0.0031918842533865993,10
A3,0.7063733784545967,0.0031918842533865993,10
B4,0.7090806542583192,0.0015059209922542293,10
B3,0.7117879300620418,0.0036822164083008457,10
A1,0.7119007332205302,0.004610385899270397,10
B1,0.7132543711223914,0.0023828508392938303,10
A7,0.724760293288212,0.0020283668297441143,10
B2,0.726565143824027,0.0020052328070649934,10
